A,B,C,D,E,F,G,H,I,J,K,L,M,N
2022-06-20,,0,0,0,0,0,6,0,0,2,0,0,8
2022-06-21,,0,0,0,1,0,2,0,0,1,0,0,4
2022-06-22,,1,0,0,0,0,0,0,0,2,0,0,3
2022-06-23,,0,0,0,1,2,4,0,0,0,0,0,7
2022-06-24,,0,0,0,0,0,0,0,0,1,0,0,1
2022-06-27,,1,0,0,0,0,0,0,0,8,0,0,9
2022-06-28,,1,0,0,0,0,3,0,0,0,0,0,4
2022-06-29,,0,0,0,0,0,0,0,3,0,0,0,3
2022-06-30,,0,0,0,0,0,2,0,0,0,0,0,2
2022-07-01,,2,0,0,0,0,1,0,0,0,0,0,3
2022-07-04,,0,0,0,0,3,3,0,0,2,0,0,8
2022-07-05,,4,0,0,0,0,1,0,0,1,0,0,6
2022-07-07,,1,0,0,1,0,2,0,0,2,0,0,6
2022-07-08,,2,0,0,2,0,0,0,0,6,0,0,10
2022-07-11,,1,0,0,1,0,1,0,0,3,0,0,6
2022-07-12,,2,2,0,0,0,0,0,0,3,0,0,7
2022-07-13,,20,0,0,0,0,0,0,0,0,0,0,20
2022-07-14,,1,0,0,0,0,0,0,0,0,0,0,1
2022-07-18,,2,0,0,0,1,0,1,0,6,1,0,11
2022-07-20,,0,0,0,0,0,0,0,0,5,0,0,5
2022-07-21,,0,0,0,4,0,6,0,0,5,0,0,15
2022-07-22,,0,0,0,0,0,3,0,0,5,0,0,8
2022-07-25,,4,0,0,0,0,1,0,0,3,0,0,8
2022-07-27,,0,0,0,0,0,0,0,0,4,0,0,4
2022-07-28,,0,0,0,0,0,1,0,0,2,0,0,3
2022-07-29,,2,0,0,0,0,2,0,0,0,0,0,4
2022-08-01,,2,0,0,0,0,0,0,0,3,0,0,5
2022-08-02,,0,0,0,0,0,0,0,0,2,0,0,2
2022-08-03,,0,0,0,0,0,0,0,0,3,0,0,3
2022-08-05,,1,0,0,0,0,1,0,0,4,0,0,6
2022-08-08,,1,0,0,0,0,0,0,0,0,0,0,1
2022-08-09,,1,0,0,0,0,0,0,0,0,0,0,1
2022-08-10,,3,0,0,1,0,1,0,0,0,0,0,5
2022-08-11,,2,0,0,1,0,0,0,0,1,0,0,4
2022-08-12,,1,0,0,1,0,2,0,0,6,0,0,10
2022-08-16,,2,0,0,0,0,1,0,0,0,1,0,4
2022-08-17,,0,0,0,0,0,1,0,0,0,0,0,1
2022-08-18,,0,1,0,1,0,2,0,0,2,0,0,6
2022-08-19,,0,0,0,0,0,3,0,0,0,0,0,3
2022-08-22,,1,0,0,1,0,0,0,0,0,0,0,2
2022-08-23,,3,0,0,0,0,2,0,0,1,0,0,6
2022-08-25,,2,1,0,0,0,0,0,0,0,0,0,3
2022-08-26,,0,0,0,0,0,2,0,0,0,0,0,2
2022-08-29,,1,1,1,1,0,4,0,0,2,1,0,11
2022-08-30,,6,2,0,2,1,9,0,0,8,0,1,29
2022-08-31,,0,0,0,1,0,5,0,0,0,0,0,6
2022-09-01,,0,2,0,1,0,5,0,0,3,0,0,11
2022-09-02,,0,1,0,1,2,6,0,0,1,0,0,11
2022-09-05,,4,0,0,0,0,8,0,0,9,0,0,21
2022-09-06,,4,4,0,1,0,4,0,0,3,0,0,16
2022-09-07,,1,1,0,6,1,16,0,0,6,0,0,31
2022-09-08,,0,2,0,0,0,2,0,0,3,1,0,8
2022-09-13,,4,2,0,0,0,13,0,0,2,0,0,21
2022-09-14,,1,0,0,2,0,6,0,0,1,0,0,10
2022-09-15,,1,1,1,1,0,5,0,0,1,0,0,10
2022-09-16,,0,0,0,3,0,1,0,0,5,0,0,9
2022-09-19,,1,0,0,3,0,5,1,0,8,0,0,18
2022-09-20,,1,1,0,5,0,2,0,0,4,0,0,13
2022-09-21,,0,0,1,4,2,2,0,0,0,0,0,9
2022-09-22,,0,1,0,0,0,5,0,0,1,1,0,8
2022-09-23,,1,0,0,1,0,0,2,0,1,0,0,5
2022-09-26,,0,0,0,2,0,3,0,0,1,0,0,6
2022-09-27,,3,0,0,9,1,3,0,0,1,0,0,17
2022-09-28,,4,0,0,1,0,0,0,0,1,0,0,6
2022-09-29,,1,0,0,2,0,1,0,0,0,0,0,4
2022-09-30,,0,0,0,0,0,0,0,1,1,0,0,2
2022-10-04,,2,0,2,1,1,6,0,0,4,0,0,16
2022-10-05,,2,0,0,1,0,3,0,0,3,1,0,10
2022-10-06,,1,0,0,0,0,2,0,0,0,0,0,3
2022-10-07,,3,3,0,4,0,0,0,0,1,0,0,11
2022-10-11,,2,0,0,0,0,7,0,1,1,0,0,11
2022-10-12,,2,0,0,2,0,4,1,0,4,0,0,13
2022-10-13,,1,0,1,0,0,1,0,0,0,0,0,3
2022-10-14,,2,0,0,3,2,6,1,0,3,0,0,17
2022-10-17,,1,1,0,0,0,4,0,2,8,0,0,16
2022-10-18,,1,0,0,1,0,2,0,0,2,0,0,6
2022-10-19,,2,0,0,0,1,5,0,0,3,0,0,11
2022-10-20,,0,0,0,3,2,4,0,0,5,1,0,15
2022-10-21,,0,0,0,0,0,3,0,0,1,0,0,4
2022-10-24,,0,0,0,0,0,1,0,0,6,0,0,7
2022-10-25,,3,0,0,0,1,10,0,0,0,0,0,14
2022-10-26,,2,0,0,1,0,4,0,0,4,0,0,11
2022-10-27,,2,5,0,0,0,1,0,0,0,0,0,8
2022-10-28,,1,0,0,0,0,4,0,0,0,0,0,5
2022-10-31,,0,0,0,0,0,5,0,0,6,0,0,11
2022-11-01,,1,3,0,0,0,7,0,0,1,0,0,12
2022-11-02,,1,0,0,1,1,7,0,0,6,0,0,16
2022-11-03,,0,0,0,3,0,4,0,0,1,0,0,8
2022-11-04,,0,0,0,0,0,2,0,0,0,0,0,2
2022-11-07,,6,2,0,4,0,2,0,0,8,0,0,22
2022-11-08,,1,3,1,8,0,5,0,0,9,2,0,29
2022-11-09,,4,6,0,0,0,2,0,0,9,1,0,22
2022-11-10,,1,3,0,6,0,0,0,0,1,0,0,11
2022-11-11,,1,2,0,2,1,4,0,0,4,0,0,14
2022-11-14,,2,3,0,4,0,1,0,0,7,0,0,17
2022-11-15,,4,9,0,7,1,7,0,0,8,0,0,36
2022-11-16,,3,3,0,4,2,7,0,0,7,0,0,26
2022-11-17,,2,1,0,4,1,3,0,0,3,0,0,14
2022-11-18,,1,0,0,0,0,0,0,0,1,0,0,2
2022-11-21,,3,2,0,1,0,4,0,0,4,3,0,17
2022-11-22,,0,0,0,4,0,1,0,0,2,0,0,7
2022-11-23,,0,0,0,0,0,2,0,0,2,2,0,6
2022-11-24,,0,2,0,1,0,1,0,0,1,0,0,5
2022-11-25,,0,1,0,1,0,0,0,0,6,0,0,8
2022-11-28,,1,6,0,4,2,2,0,0,6,0,0,21
2022-11-29,,0,0,0,4,1,1,0,0,0,0,0,6
2022-11-30,,0,0,0,1,0,2,0,0,1,1,0,5
2022-12-01,,0,0,0,0,1,3,0,1,0,0,0,5
2022-12-02,,0,0,0,1,0,0,0,0,10,0,0,11
2022-12-05,,4,2,0,2,0,4,1,0,3,0,0,16
2022-12-06,,0,0,0,0,1,7,0,1,3,0,0,12
2022-12-07,,2,0,0,0,0,4,0,0,13,0,0,19
2022-12-08,,0,0,0,1,1,3,0,0,0,0,0,5
2022-12-09,,1,1,0,2,1,5,0,0,14,0,0,24
2022-12-12,,0,0,0,0,1,6,0,0,0,0,0,7
2022-12-13,,0,0,0,0,0,9,0,0,1,0,0,10
2022-12-14,,0,0,0,0,0,7,0,0,0,0,0,7
2022-12-15,,0,0,0,0,1,0,0,0,0,0,0,1
2022-12-16,,0,0,0,2,0,2,0,0,5,0,0,9
2022-12-19,,0,0,0,0,0,0,0,2,1,0,0,3
2022-12-20,,0,1,0,0,0,0,0,0,3,0,0,4
2022-12-22,,0,0,0,0,0,0,0,0,14,0,0,14
2022-12-23,,0,0,0,0,0,1,0,0,5,0,0,6
2022-12-29,,4,1,0,0,0,0,0,0,0,0,0,5
,총계,349,135,13,240,57,517,15,19,525,30,2,1902
,비율(%),18.35,7.1,0.68,12.62,3,27.18,0.79,1,27.6,1.58,0.11,100
