A,B,C,D,E,F,G,H,I,J,K,L,M,N
2024-07-05,,0,0,0,0,2,0,0,0,1,0,0,3
2024-07-08,,0,0,0,1,0,0,0,0,1,0,0,2
2024-07-09,,4,0,0,0,0,4,1,0,2,1,0,12
2024-07-10,,0,0,0,0,0,3,0,0,2,0,0,5
2024-07-11,,0,1,0,1,0,0,0,0,1,1,0,4
2024-07-12,,0,0,0,0,0,0,0,0,3,0,0,3
2024-07-15,,20,2,0,1,0,0,0,0,2,0,0,25
2024-07-16,,1,0,0,1,0,1,0,0,4,0,0,7
2024-07-17,,3,0,0,2,0,3,0,0,3,0,0,11
2024-07-18,,2,0,0,6,0,0,0,2,1,0,0,11
2024-07-19,,4,0,0,1,0,1,0,0,5,0,0,11
2024-07-22,,3,0,0,0,0,0,0,0,1,0,0,4
2024-07-23,,1,0,0,0,0,1,0,0,0,0,0,2
2024-07-24,,2,0,0,0,0,1,0,0,2,2,0,7
2024-07-25,,0,0,0,1,0,0,0,0,4,0,0,5
2024-07-26,,0,0,0,1,0,0,0,0,3,2,0,6
2024-07-29,,3,0,0,0,0,1,0,0,2,0,0,6
2024-07-30,,0,0,0,1,0,0,0,0,0,1,0,2
2024-07-31,,0,0,0,0,0,0,0,0,3,0,0,3
2024-08-01,,0,0,0,0,0,0,0,0,8,0,0,8
2024-08-02,,1,0,0,0,0,0,0,2,0,0,0,3
2024-08-05,,0,0,0,0,0,1,0,0,8,0,0,9
2024-08-06,,3,0,0,0,0,0,0,0,0,0,0,3
2024-08-07,,3,0,0,0,0,1,0,0,0,0,0,4
2024-08-08,,1,0,0,1,0,1,0,0,0,0,0,3
2024-08-09,,1,0,0,0,0,1,1,1,2,0,0,6
2024-08-12,,0,0,0,0,0,0,2,0,4,0,0,6
2024-08-13,,1,0,0,0,0,0,3,0,5,0,0,9
2024-08-14,,2,0,0,0,0,0,0,0,1,0,0,3
2024-08-16,,0,0,0,0,0,1,1,1,2,0,0,5
2024-08-19,,1,0,0,0,0,1,0,0,0,0,0,2
2024-08-20,,0,0,0,0,0,0,0,0,2,0,0,2
2024-08-21,,0,0,0,0,0,1,0,0,0,0,0,1
2024-08-22,,0,0,0,0,0,0,0,0,0,1,0,1
2024-08-23,,0,0,0,0,0,0,1,0,1,0,0,2
2024-08-26,,0,1,0,3,3,10,1,0,8,0,0,26
2024-08-27,,1,1,0,4,3,4,0,0,10,0,0,23
2024-08-28,,0,0,0,3,2,2,0,0,6,0,0,13
2024-08-29,,0,0,0,3,1,5,0,0,2,0,0,11
2024-08-30,,3,2,0,5,0,1,0,0,15,0,0,26
2024-09-02,,0,0,0,5,1,7,1,0,5,0,0,19
2024-09-03,,2,1,1,0,0,9,0,0,3,0,0,16
2024-09-04,,0,2,1,0,0,1,0,0,3,0,0,7
2024-09-05,,1,0,0,0,0,4,0,0,4,2,0,11
2024-09-06,,0,1,0,0,0,1,1,0,3,1,0,7
2024-09-09,,1,0,0,0,1,2,0,2,14,0,0,20
2024-09-10,,2,0,0,3,0,10,0,0,4,0,0,19
2024-09-11,,0,0,0,0,0,2,0,1,2,0,0,5
2024-09-12,,0,0,0,0,1,0,0,2,4,3,0,10
2024-09-13,,0,0,0,0,0,0,1,0,4,0,0,5
2024-09-19,,2,0,0,0,1,1,1,0,5,0,0,10
2024-09-20,,2,0,0,0,0,0,0,0,1,0,0,3
2024-09-23,,3,0,0,5,0,1,0,0,0,0,0,9
2024-09-24,,2,1,0,5,0,6,0,1,3,0,0,18
2024-09-25,,3,0,0,2,0,0,0,0,1,4,0,10
2024-09-26,,0,0,0,3,1,2,1,0,4,0,0,11
2024-09-27,,1,0,0,1,0,2,0,0,12,0,0,16
2024-09-30,,0,0,0,0,2,0,0,0,2,5,0,9
2024-10-02,,1,1,0,2,2,1,0,0,0,0,0,7
2024-10-07,,5,5,0,3,1,5,0,0,7,2,0,28
2024-10-08,,0,0,0,1,1,0,0,0,0,0,0,2
2024-10-10,,0,0,0,3,0,1,0,0,4,0,0,8
2024-10-11,,4,1,0,1,0,1,0,0,15,4,0,26
2024-10-14,,2,0,0,2,1,4,0,0,8,0,0,17
2024-10-15,,5,0,0,1,0,5,0,0,1,0,0,12
2024-10-16,,0,0,0,0,0,3,0,0,0,0,0,3
2024-10-17,,2,0,0,0,2,3,0,0,0,0,0,7
2024-10-18,,0,0,0,3,0,1,0,0,2,0,0,6
2024-10-21,,1,0,0,1,1,1,0,0,1,0,0,5
2024-10-22,,0,0,0,2,0,2,0,1,1,0,0,6
2024-10-23,,0,0,0,2,0,1,0,0,5,0,0,8
2024-10-24,,0,0,0,5,0,0,0,0,2,0,0,7
2024-10-25,,0,1,0,0,0,1,0,0,8,2,0,12
2024-10-28,,1,1,0,1,0,6,0,0,0,1,0,10
2024-10-29,,0,0,0,0,0,0,0,0,1,0,0,1
2024-10-30,,0,0,0,1,1,2,0,0,0,0,0,4
2024-10-31,,1,0,0,1,0,0,0,0,10,2,0,14
2024-11-01,,0,0,0,0,0,2,0,0,5,0,0,7
2024-11-04,,2,0,0,3,1,2,0,0,19,0,0,27
2024-11-05,,6,6,1,4,0,3,0,2,11,0,0,33
2024-11-06,,1,2,1,3,0,2,1,0,7,0,0,17
2024-11-07,,1,0,0,5,1,1,0,1,21,2,0,32
2024-11-08,,0,1,0,2,1,5,0,0,13,0,0,22
2024-11-11,,2,1,0,3,0,5,0,0,14,0,0,25
2024-11-12,,3,1,0,6,0,1,0,1,15,1,0,28
2024-11-13,,0,1,0,2,1,0,0,0,1,0,1,6
2024-11-14,,0,0,0,1,0,5,0,1,7,0,0,14
2024-11-15,,1,0,0,1,1,3,0,0,7,0,0,13
2024-11-18,,1,0,0,1,0,4,0,0,14,0,0,20
2024-11-19,,2,7,0,5,0,3,0,0,16,0,0,33
2024-11-20,,3,0,0,6,0,0,0,0,12,0,0,21
2024-11-21,,0,1,0,2,0,2,0,0,13,0,0,18
2024-11-22,,0,0,0,1,0,0,0,0,1,0,0,2
2024-11-25,,3,4,0,1,0,1,0,0,19,0,0,28
2024-11-26,,0,2,0,3,0,1,0,0,8,0,0,14
2024-11-27,,1,2,0,2,1,2,0,0,12,1,0,21
2024-11-28,,0,0,0,1,0,3,0,1,7,0,0,12
2024-11-29,,0,0,0,2,0,0,0,0,3,0,0,5
2024-12-02,,1,0,0,0,0,1,0,0,4,0,0,6
2024-12-03,,0,1,0,0,1,0,0,0,2,0,0,4
2024-12-04,,0,0,0,0,0,1,0,0,0,0,0,1
2024-12-05,,0,4,0,1,0,1,0,0,4,0,0,10
2024-12-09,,1,0,0,1,0,4,0,1,1,0,0,8
2024-12-10,,0,0,0,0,0,2,0,0,0,0,0,2
2024-12-11,,16,3,0,0,1,1,0,0,4,0,0,25
2024-12-12,,4,0,0,0,0,5,0,0,1,0,0,10
2024-12-13,,12,0,0,1,0,0,0,0,0,0,0,13
2024-12-16,,2,0,0,3,0,3,0,0,0,0,0,8
2024-12-17,,1,0,0,0,0,1,0,0,1,0,0,3
2024-12-18,,12,0,0,0,1,3,0,0,1,0,0,17
2024-12-19,,1,0,0,0,0,3,0,0,0,0,0,4
2024-12-20,,0,0,0,4,0,0,0,0,7,1,0,12
2024-12-23,,1,0,0,3,0,1,0,0,0,0,0,5
2024-12-24,,0,0,0,1,0,0,0,0,0,0,0,1
2024-12-27,,0,0,0,0,0,0,0,0,2,0,0,2
,총계,487,233,9,363,78,555,26,78,1016,92,4,2941
,비율(%),16.56,7.92,0.31,12.34,2.65,18.87,0.88,2.65,34.55,3.13,0.14,100
구분,양서 단행본,0,100,200,300,400,500,600,700,800,900,ETC,합계
2024-06-04,,0,0,0,0,0,0,0,0,1,0,0,1
2024-11-11,,0,0,0,0,0,0,0,0,1,0,0,1
,총계,0,0,0,0,0,0,0,0,2,0,0,2
,비율(%),0,0,0,0,0,0,0,0,100,0,0,100
